Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
k,ATT Group,Kota Jakarta Barat,"Jurusan: Manajemen Transportasi logistik
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Ilmu Manajemen
- Lancar berkomunikasi dalam Bahasa Inggris (lebih diutamakan)

Kriteria soft skills:
- Problem solving
- Memiliki inisiatif tinggi
- Analitis
- Kemampuan observasi dan mencari akar masalah
- Attention to detail
- Mampu beradaptasi
- Bekerja dalam tim

Kriteria Lainnya:
- Bersedia ditempatkan di seluruh bisnis unit ATT Group 
",60
Management HR & GA,Management Logistik,ATT Group,Kota Jakarta Barat,"Jurusan: Psikologi, Administrasi, Komunikasi, Public Relation, Manajemen dan SDM 
Jenjang: D3 / D4 / S1/S2
Semester: Minimal semester 6

Kriteria hard skills:
- Microsoft Office

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur

Kriteria Lainnya:
- Bersedia ditempatkan di semua lokasi perusahaan  SBU ATT Group
",30
Finance & Accounting ,Management Logistik,ATT Group,Kota Jakarta Barat,"Jurusan: Statistik dan Keuangan 
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Microsoft Excel 
- Akuntansi 

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Bersedia bekerja dengan tekanan 
- Target Oriented
- Analisis 
",10
F&B Kitchen,F&B Kitchen,SUMMARECON,Jakarta dan Serpong,"Jurusan: Pendidikan D3 Seni Kuliner				
Jenjang: D3				
Semester: Minimal semester 6				
Penempatan: Jakarta dan Serpong				
				
Kriteria hard skills:				
- Menguasai dasar manajemen atau pengelolaan bahan baku untuk memasak				
- Menguasai kemampuan mengenai cara penyimpanan, pengolahan, persiapan, dan penyajian bahan makanan				
- Paham dan dapat melaksanakan Hygiene dan Sanitation dalam area kerja dan area sekitarnya				
- Melakukan pemeriksaan rutin dan aktif baik dalam area kerjanya.				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Dapat bekerja dibawah tekanan dan mampu cepat beradaptasi dalam lingkungan kerja yang baru				",2
Marketing Mall (Casual Leasing),Marketing Mall (Casual Leasing),SUMMARECON,"Bekasi, Jakarta dan Serpong","Jurusan: Pendidikan S-1 Management atau setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Jakarta & Serpong				
				
Kriteria hard skills:				
- Mampu memantau kegiatan loading dan unloading materi pameran dan memastikan luasan pameran sesuai perjanjian				
- Memiliki kemampuan untuk menyiapkan dokumen area pameran yang disewakan 				
- Mampu menyusun Marketing strategy baik untuk offline maupun online				
- Memiliki kemampuan dalam perencanaan eksekusi				
  				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				",5
HR Admin,Operation Development,SUMMARECON,Kota Jakarta Timur,"Jurusan: Manajemen Bisnis, Manajemen Ritel atau jurusan lain yang setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan: Jakarta				
				
Kriteria hard skills:				.				
- Menguasai dasar penyusunan perkembangan pengajaran.				
- Menguasai pengaturan data untuk melakukan rekapitulasi absensi			
- Mengerti dan paham penggunaan MS Office 
- Menyukai pekerjaan yang berhubungan dengan administrasi dan detil terhadap data				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Menyukai ketelitian",1
NVB - Growth,New Venture Businesses,SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Bisnis Manajemen, Digital Bisnis dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
1. Mampu menganalisis dan mengevaluasi proses bisnis yang dimiliki perusahaan saat ini dan mengidentifikasi area perbaikan
2. Mampu meninjau proses bisnis terkini dan kemajuan teknologi untuk membuat sistem yang lebih modern
3. Meningkatkan Usage dan User Acquisition			
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Analitis dan Teliti		",2
NVB - Product Analyst,New Venture Businesses,SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Teknologi Informasi, Bisnis Manajemen, Computer Science dan Setara	
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				

Kriteria hard skills:				
1. Mampu membuat alur/Flowchart untuk fitur-fitur pada aplikasi/sistem.
2. Mampu membuat Wireframe untuk fitur-fitur pada aplikasi/sistem.
3. Mampu membuat project timeline terhadap fitur-fitur yang akan release.		

Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Analitis dan Teliti	",2
NVB - Business Analyst ,New Venture Businesses,SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Bisnis Manajemen, Digital Bisnis dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
1. Mampu menganalisis dan mengevaluasi proses bisnis yang dimiliki perusahaan saat ini dan mengidentifikasi area perbaikan
2. Mampu meninjau proses bisnis terkini dan kemajuan teknologi untuk membuat sistem yang lebih modern
3. Mengidentifikasi dan memprioritaskan kebutuhan dan persyaratan fungsional dan teknis organisasi
4. Mahir dalam penggunaan SQL, Ms. Excel, Google Sheets untuk menganalisis kumpulan data
5. Menyusun bagan, tabel, dan elemen visualisasi data lainnya di Tableau			
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Analitis dan Teliti				",2
Project Construction Drawing,Project Construction Drawing,SUMMARECON,Serpong,"Jurusan: Pendidikan Arsitektur atau Setara		
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong			
				
Kriteria hard skills:				
- Mahir menggunakan Autocad dan Sketch Up				
- Memiiki kemampuan dalam pengoperasian software editing grafis (Adobe Photoshop)							
- Memiliki keterampilan dasar arsitektur				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Memiliki kemampuan dalam negosiasi dan persuasi terkait dengan pengerjaan tugas
- Mampu melakukan manajemen waktu				",1
